classification,red,blue,green,black,golden,brown,Cyan,purple,white,Pink,Pink,watermelon,watermelon,tangerine,orange,grapefruit,Banana,Cherry,pitaya,pineapple,Sugar cane,Peach,Chestnut,plum,Loquat,Wax gourd,eggplant,Pepper
1,672.525,178.605,0.0003,0.0575,0.0791,11.4,0.8357,0.2266,0.352,1.6732,0.1458,0.9319,18.3002,0.055,21.2166,44.9038,62.4403,206.8966,2500,16.2576,4.1379,122538.5,0.2794,221.7041,167.327,0.0231,205.1799,0.2889
1,707.07,170.52,0.0001,0.1657,0.1882,14.8,0.8331,0.4489,0.3451,1.6803,0.147,0.9321,15.9239,0.024,16.6906,125.2,1206.4869,0,2222.2222,15.5699,6.75,120572,0.3285,197.2102,200.5802,0.0542,194.6127,0.2836
1,649.74,207.27,0.0001,0.0126,0.0247,19.1,0.639,0.0454,0.475,1.5113,0.1347,0.9417,19.6451,0.0154,27.2093,17.7212,124.5916,433.3333,0,17.0895,5.8889,134572.5,0.3909,207.6364,141.0424,0.0044,222.4087,0.1751
1,669.585,181.545,0.0001,0.0736,0.0968,13,0.8355,0.2708,0.3963,1.662,0.1617,0.9285,17.0006,0.0164,16.6663,165.5254,172.8293,150,4090.9091,16.2976,4.8333,125956.5,0.3237,221.039,163.5135,0.0397,214.5528,0.1504
1,703.395,185.955,0.0001,0.0632,0.0798,10,0.743,0.2316,0.5139,1.4292,0.1151,0.9466,15.8477,0.01,19.7135,69.7994,1153.5837,150,6818.1818,16.4028,4.9286,122102,0.2575,186.1765,148.7359,0.0125,197.9295,0.2963
1,637.245,219.03,0.0001,0.0642,0.0839,16.9,0.694,0.1748,0.4252,1.577,0.1562,0.9291,15.8224,0.011,24.1871,2.7489,209.8674,320,1111.1111,16.7435,5.2,114224,0.2703,204.5714,114.6444,0.003,178.9702,0.3665
1,672.525,210.21,0.0003,0.0213,0.0428,19.7,0.6931,0.1187,0.437,1.5925,0.1406,0.9364,20.2258,0.055,24.1724,70.2201,485.8772,222.2222,2307.6923,17.057,5.3333,133006.5,0.321,186.3333,151.3333,0.0009,203.1401,0.2683
1,666.645,195.51,0.0004,0.0204,0.0384,12,0.6442,0.0974,0.5762,1.2859,0.1162,0.9493,17.592,0.0675,23.897,112.6931,575.5774,137.5,7500,16.8898,4.875,124287,0.4419,183,91.625,0.0007,193.3692,0.1978
1,640.92,189.63,0.0002,0.0265,0.0456,21.2,0.7942,0.1648,0.4867,1.4705,0.1238,0.9444,17.2177,0.0328,22.3967,100.8544,1878.2886,214.2857,7500,16.541,5.5714,122862,0.3484,195.3529,124.6387,0.0074,203.2636,0.3081
1,715.89,177.135,0.0012,0.0757,0.1144,12.2,0.7526,0.2532,0.3154,1.7176,0.1547,0.9304,16.3674,0.1732,17.1745,79.7319,812.3916,62.069,1034.4828,16.5839,4.5517,109903,0.2912,225.7595,163.8029,0.0186,214.8743,0.2433
1,664.44,163.905,0.0001,0.0757,0.1057,20.9,0.8389,0.2912,0.3024,1.7663,0.172,0.9229,16.3678,0.0105,18.9867,161.657,9.2796,105.8824,2500,16.3409,3.5294,113995.5,0.4361,167.2778,142.4878,0.0077,199.0267,0.2161
1,706.335,168.315,0.0001,0.0507,0.0697,21.7,0.7749,0.1708,0.4536,1.4614,0.1349,0.9371,13.5671,0.0113,20.7481,0.5426,81.1056,332.1429,1250,16.7064,4.3929,94019.5,0.2969,204.4054,124.8678,0.006,198.5384,0.3347
1,697.515,178.605,0,0.0513,0.0688,12.6,0.8545,0.2019,0.5397,1.3418,0.1148,0.9466,15.4338,0.0057,17.1005,37.6828,391.8965,105.8824,3913.0435,16.3514,4.4118,116931,0.2541,220.5,128.125,0.0024,186.9595,0.3071
1,601.23,198.45,0,0.1777,0.1875,0,0.7703,0.4239,0.5081,1.4676,0.1317,0.9394,16.0765,0.0017,27.7842,46.9667,399.4502,355.5556,2000,15.8126,5.3333,127495,0.3455,208.5849,145.4213,0.0072,184.7502,0.2924
1,625.485,185.955,0,0.0257,0.0434,15,0.8088,0.1087,0.4132,1.5956,0.1531,0.929,17.2244,0.0016,22.172,92.1442,187.5408,115.3846,2222.2222,16.7777,4.8462,112601,0.3134,210.7316,230.9367,0.1102,213.0598,0.281
1,701.19,211.68,0,0.1233,0.1436,20.1,0.7645,0.2683,0.3947,1.7435,0.1682,0.926,16.8934,0.0071,22.5357,35.4928,1825.4649,288.8889,2727.2727,16.1184,6.4444,132153,0.3106,232.3253,172.6528,0.0254,201.191,0.33
1,635.775,174.93,0,0.2387,0.2585,15,0.7531,0.5629,0.3202,1.6683,0.159,0.9256,14.3377,0.0031,23.1625,47.2086,785.6747,288.4615,1875,15.556,5.1923,99749,0.2917,185.0513,131.8182,0.0138,199.3323,0.2616
1,707.805,210.21,0,0.0268,0.0516,1,0.7495,0.1222,0.4063,1.6273,0.1504,0.9301,19.7751,0.0014,17.9521,87.4556,583.139,92.3077,1153.8462,16.7927,5.7692,125400,0.3355,217.209,147.7554,0.0156,193.9516,0.2262
1,594.615,135.975,0,0.2262,0.2546,14.8,0.7193,0.4774,0.3852,1.5403,0.1524,0.9264,10.9363,135.3851,19.5849,55.4102,134.3923,216,0,15.9941,4.32,80502,0.2847,207.0313,122.9538,0.0122,183.6151,0.333
1,707.07,146.265,0,0.2829,0.3059,13.6,0.6864,0.6191,0.3396,1.6642,0.1365,0.9353,13.2418,159.1504,13.6616,173.7138,88.9329,126.3158,2608.6957,15.3104,3.7895,112530.5,0.322,183.3,123.2782,0.0057,222.2453,0.1428
1,609.315,169.05,0,0.1659,0.1896,13,0.8112,0.5051,0.5364,1.3359,0.1237,0.942,11.5756,163.1644,19.8544,150.7652,536.8934,0,3000,15.6326,6,99418.5,0.2609,194.3333,114.9714,0.0028,181.3916,0.3018
1,668.85,186.69,0,0.0416,0.0602,1,0.7643,0.1262,0.503,1.436,0.1183,0.9474,17.2909,173.8065,21.8445,50.412,148.0918,252,2500,16.5778,4.68,116250.5,0.512,196.5745,141.1683,0.009,221.6243,0.1706
1,715.155,241.815,0,0.0354,0.0531,19.3,0.6154,0.1311,0.4753,1.5793,0.1173,0.9461,20.8958,235.5881,29.9298,75.0128,406.7041,387.5,3461.5385,16.8409,5.125,168482,0.3235,207.8,188.1335,0.0217,205.4345,0.1784
1,640.92,213.15,0,0.0973,0.1155,13.4,0.8436,0.3101,0.404,1.6521,0.1697,0.9265,16.9249,191.0465,27.036,32.0745,207.3946,420,2608.6957,16.1258,6.6,122445.5,0.3582,198.9286,114.7729,0.0169,196.8285,0.25
1,608.58,212.415,0,0.1366,0.153,15.1,0.789,0.3964,0.408,1.6387,0.1494,0.9319,16.4849,210.2534,29.0762,66.1359,1544.2424,372,6000,15.997,4.92,127956,0.2722,216.587,147.3791,0.01,194.4117,0.3069
1,662.97,200.655,0,0.1486,0.1688,21.9,0.8285,0.4215,0.3933,1.6436,0.1456,0.933,14.4816,183.6667,21.0332,64.5177,288.6882,155.1724,2222.2222,15.6355,4.6552,121765.5,0.3353,191.1429,116.4545,0.0107,193.2144,0.2481
